CoDrone Location vs Time,04082024_194602
Pairing,04/08/2024 19:46:03.522907,temp,0,battery,100,position,1.1648695468902588,0.0,0.0,0.01675000786781311
Takeoff,04/08/2024 19:46:13.646188,11.275470733642578,-0.004290768876671791,-0.027051959186792374,0.9077708721160889
Takeoff,04/08/2024 19:46:13.668129,11.297680139541626,-0.004668334499001503,-0.02656455896794796,0.9072126746177673
Takeoff,04/08/2024 19:46:13.690261,11.320255756378174,-0.005123874172568321,-0.026065779849886894,0.9073964357376099
Takeoff,04/08/2024 19:46:13.712542,11.341865539550781,-0.005559121258556843,-0.025657152757048607,0.9074820876121521
Takeoff,04/08/2024 19:46:13.734609,11.363715887069702,-0.006036777514964342,-0.025304153561592102,0.9077043533325195
Takeoff,04/08/2024 19:46:13.757726,11.363715887069702,-0.006036777514964342,-0.025304153561592102,0.9077043533325195
Takeoff,04/08/2024 19:46:13.780826,11.363715887069702,-0.006036777514964342,-0.025304153561592102,0.9077043533325195
Takeoff,04/08/2024 19:46:13.803635,11.432439088821411,-0.007644099649041891,-0.024619145318865776,0.9074057936668396
Takeoff,04/08/2024 19:46:13.826673,11.45588994026184,-0.008114680647850037,-0.02452734112739563,0.907041609287262
Takeoff,04/08/2024 19:46:13.848075,11.477719783782959,-0.008518943563103676,-0.024461375549435616,0.9076204895973206
Takeoff,04/08/2024 19:46:13.870822,11.500197887420654,-0.008917518891394138,-0.02440863847732544,0.9074169397354126
Takeoff,04/08/2024 19:46:13.893289,11.522313356399536,-0.009420826099812984,-0.024354631081223488,0.9074338674545288
Takeoff,04/08/2024 19:46:13.915957,11.544786930084229,-0.009815765544772148,-0.024294015020132065,0.9077882170677185
Takeoff,04/08/2024 19:46:13.938950,11.568153619766235,-0.010183743201196194,-0.024188833311200142,0.9075584411621094
Takeoff,04/08/2024 19:46:13.961305,11.590059041976929,-0.010598324239253998,-0.024073144420981407,0.9068589806556702
Takeoff,04/08/2024 19:46:13.984587,11.590059041976929,-0.010598324239253998,-0.024073144420981407,0.9068589806556702
Takeoff,04/08/2024 19:46:14.006950,11.636085033416748,-0.011424873024225235,-0.02378513664007187,0.9050220847129822
Takeoff,04/08/2024 19:46:14.028742,11.657438039779663,-0.011839068494737148,-0.023618003353476524,0.9042099118232727
Takeoff,04/08/2024 19:46:14.050819,11.657438039779663,-0.011839068494737148,-0.023618003353476524,0.9042099118232727
Takeoff,04/08/2024 19:46:14.073830,11.701884746551514,-0.012788052670657635,-0.023412734270095825,0.9014857411384583
Takeoff,04/08/2024 19:46:14.096802,11.725422620773315,-0.013383145444095135,-0.023400016129016876,0.8991508483886719
Takeoff,04/08/2024 19:46:14.119836,11.748785734176636,-0.01386301126331091,-0.02341899275779724,0.8977683186531067
Takeoff,04/08/2024 19:46:14.142115,11.771326780319214,-0.014320566318929195,-0.023418623954057693,0.8952447175979614
Takeoff,04/08/2024 19:46:19.153694,temp,25.94,battery,92,position,11.793708801269531,-0.01473987102508545,-0.023406367748975754,0.8928437232971191
Random_Limits,04/08/2024 19:46:22.210540,19.83925175666809,0.005443782079964876,-0.0010312263621017337,0.08475907891988754,Notes,1,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.232331,19.861629962921143,0.005639629438519478,-0.001172638963907957,0.08472907543182373,Notes,2,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.254224,19.884381532669067,0.0057883006520569324,-0.0013200390385463834,0.08482251316308975,Notes,3,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.277737,19.906452894210815,0.005939650349318981,-0.0015117281582206488,0.08330345153808594,Notes,4,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.299908,19.92996120452881,0.006116725504398346,-0.0017230449011549354,0.08314716815948486,Notes,5,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.322861,19.950812339782715,0.006340567953884602,-0.001956522697582841,0.08315013349056244,Notes,6,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.345851,19.975236654281616,0.0066244034096598625,-0.002224896801635623,0.08323118835687637,Notes,7,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.373444,20.00133776664734,0.006905766669660807,-0.0024950497318059206,0.08332176506519318,Notes,8,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.395502,20.024513006210327,0.00722819147631526,-0.002767249708995223,0.08481333404779434,Notes,9,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.418202,20.047992706298828,0.007517797406762838,-0.0029634078964591026,0.085100919008255,Notes,10,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.440207,20.070358991622925,0.007880030199885368,-0.003166944719851017,0.08516360074281693,Notes,11,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.462415,20.070358991622925,0.007880030199885368,-0.003166944719851017,0.08516360074281693,Notes,12,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.485190,20.114205598831177,0.008561278693377972,-0.003270775778219104,0.08616913110017776,Notes,13,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.507628,20.13698673248291,0.008867381140589714,-0.0031393845565617085,0.08632917702198029,Notes,14,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.530041,20.159137725830078,0.009174487553536892,-0.0029093159828335047,0.08630381524562836,Notes,15,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.551956,20.182601928710938,0.00951205100864172,-0.0025776466354727745,0.08623519539833069,Notes,16,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
Random_Limits,04/08/2024 19:46:22.574264,20.20354390144348,0.009772798977792263,-0.0021881512366235256,0.08612331002950668,Notes,17,0.005376736633479595,-0.0009743185364641249,0.08480052649974823,0.005376736633479595,0.9990256814635359,0.08480052649974823
