CoDrone Location vs Time,04082024_194646
Pairing,04/08/2024 19:46:47.393625,temp,28.02,battery,100,position,1.1451656818389893,0.01656486839056015,0.0950080156326294,0.08194322139024734
Takeoff,04/08/2024 19:46:57.519251,11.258678913116455,0.007982908748090267,-0.03756159171462059,0.9074166417121887
Takeoff,04/08/2024 19:46:57.541084,11.280855655670166,0.0074225058779120445,-0.03713083267211914,0.9075322151184082
Takeoff,04/08/2024 19:46:57.563069,11.302197694778442,0.006934666074812412,-0.03684857487678528,0.9074273705482483
Takeoff,04/08/2024 19:46:57.585057,11.323681592941284,0.006440619006752968,-0.03658251836895943,0.9071030020713806
Takeoff,04/08/2024 19:46:57.607671,11.346399545669556,0.005864276550710201,-0.036208875477313995,0.9066930413246155
Takeoff,04/08/2024 19:46:57.629520,11.368850946426392,0.005100563634186983,-0.03565686568617821,0.9064297080039978
Takeoff,04/08/2024 19:46:57.652154,11.390131711959839,0.0042985575273633,-0.03509489819407463,0.9061729311943054
Takeoff,04/08/2024 19:46:57.674215,11.412766933441162,0.0035114355850964785,-0.034636110067367554,0.9057450294494629
Takeoff,04/08/2024 19:46:57.696629,11.434389114379883,0.0027787250000983477,-0.034298282116651535,0.9056479930877686
Takeoff,04/08/2024 19:46:57.719232,11.458118677139282,0.002067820867523551,-0.03397727012634277,0.9055935740470886
Takeoff,04/08/2024 19:46:57.741358,11.479409217834473,0.001407391158863902,-0.03364552557468414,0.9044923186302185
Takeoff,04/08/2024 19:46:57.762930,11.50251579284668,0.0007953897584229708,-0.033349234610795975,0.903627872467041
Takeoff,04/08/2024 19:46:57.784893,11.52373719215393,0.00020666865748353302,-0.03313307464122772,0.9029891490936279
Takeoff,04/08/2024 19:46:57.807058,11.545616865158081,-0.0003922363684978336,-0.032945260405540466,0.9022905230522156
Takeoff,04/08/2024 19:46:57.829026,11.567805290222168,-0.0009752044570632279,-0.03279966488480568,0.9019904136657715
Takeoff,04/08/2024 19:46:57.851019,11.58913516998291,-0.0014469566522166133,-0.03271876648068428,0.901367723941803
Takeoff,04/08/2024 19:46:57.872868,11.61262321472168,-0.001883152173832059,-0.03265664353966713,0.9004524350166321
Takeoff,04/08/2024 19:46:57.894767,11.632990598678589,-0.002278305822983384,-0.032589852809906006,0.8994333744049072
Takeoff,04/08/2024 19:46:57.917047,11.632990598678589,-0.002278305822983384,-0.032589852809906006,0.8994333744049072
Takeoff,04/08/2024 19:46:57.938912,11.678115129470825,-0.0032638865523040295,-0.032514538615942,0.8963509202003479
Takeoff,04/08/2024 19:46:57.960924,11.699527740478516,-0.003839777549728751,-0.032564058899879456,0.8940460085868835
Takeoff,04/08/2024 19:46:57.983249,11.722151041030884,-0.0043288059532642365,-0.032638415694236755,0.892045795917511
Takeoff,04/08/2024 19:46:58.005153,11.744515180587769,-0.004755112808197737,-0.03268614411354065,0.889855146408081
Takeoff,04/08/2024 19:47:03.016789,temp,28.24,battery,89,position,11.765702724456787,-0.0051203276962041855,-0.03266574442386627,0.8880574107170105
Random_Limits,04/08/2024 19:47:06.071860,19.811397314071655,0.015738358721137047,0.11437244713306427,0.153734490275383,Notes,1,0.015916457399725914,0.11443416774272919,0.15382178127765656,0.015916457399725914,1.1144341677427292,0.15382178127765656
Random_Limits,04/08/2024 19:47:06.094391,19.832088470458984,0.015401585958898067,0.11425205320119858,0.15366505086421967,Notes,2,0.015916457399725914,0.11443416774272919,0.15382178127765656,0.015916457399725914,1.1144341677427292,0.15382178127765656
Random_Limits,04/08/2024 19:47:06.116530,19.85467791557312,0.015090777538716793,0.11412912607192993,0.15364228188991547,Notes,3,0.015916457399725914,0.11443416774272919,0.15382178127765656,0.015916457399725914,1.1144341677427292,0.15382178127765656
Random_Limits,04/08/2024 19:47:06.138482,19.876705408096313,0.014813295565545559,0.11401402950286865,0.15340839326381683,Notes,4,0.015916457399725914,0.11443416774272919,0.15382178127765656,0.015916457399725914,1.1144341677427292,0.15382178127765656
Random_Limits,04/08/2024 19:47:06.161516,19.89856743812561,0.01455885823816061,0.11390454322099686,0.1531268209218979,Notes,5,0.015916457399725914,0.11443416774272919,0.15382178127765656,0.015916457399725914,1.1144341677427292,0.15382178127765656
Random_Limits,04/08/2024 19:47:06.183740,19.922877311706543,0.014378052204847336,0.11376427859067917,0.15270914137363434,Notes,6,0.015916457399725914,0.11443416774272919,0.15382178127765656,0.015916457399725914,1.1144341677427292,0.15382178127765656
Random_Limits,04/08/2024 19:47:06.206779,19.94497561454773,0.014368832111358643,0.1135641559958458,0.15224632620811462,Notes,7,0.015916457399725914,0.11443416774272919,0.15382178127765656,0.015916457399725914,1.1144341677427292,0.15382178127765656
Random_Limits,04/08/2024 19:47:06.228627,19.96731925010681,0.014535383321344852,0.11328701674938202,0.15200288593769073,Notes,8,0.015916457399725914,0.11443416774272919,0.15382178127765656,0.015916457399725914,1.1144341677427292,0.15382178127765656
Random_Limits,04/08/2024 19:47:06.250866,19.989349126815796,0.01491470355540514,0.1128886342048645,0.15170642733573914,Notes,9,0.015916457399725914,0.11443416774272919,0.15382178127765656,0.015916457399725914,1.1144341677427292,0.15382178127765656
Random_Limits,04/08/2024 19:47:06.272888,20.012494802474976,0.015461676754057407,0.11240790784358978,0.15145796537399292,Notes,10,0.015916457399725914,0.11443416774272919,0.15382178127765656,0.015916457399725914,1.1144341677427292,0.15382178127765656
Random_Limits,04/08/2024 19:47:06.295740,20.03425431251526,0.016148477792739868,0.11186748743057251,0.15126661956310272,Notes,11,0.015916457399725914,0.11443416774272919,0.15382178127765656,0.015916457399725914,1.1144341677427292,0.15382178127765656
Random_Limits,04/08/2024 19:47:06.318419,20.056317806243896,0.017060471698641777,0.11122240126132965,0.1512371152639389,Notes,12,0.015916457399725914,0.11443416774272919,0.15382178127765656,0.015916457399725914,1.1144341677427292,0.15382178127765656
